clipping_fraction,dsp_issues,file,good,peak,qwen_clarity_score,qwen_good,qwen_has_severe_noise,qwen_reason,rms_db,score,spectral_flatness,zero_crossing_rate
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_1.wav,True,0.98831,7.0,True,False,The recording has some background noise but is generally clear and has a pleasant analog vibe.,-14.6,100.0,0.1303,0.2136
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_10.wav,True,0.93817,8.0,True,False,The recording has some background noise but is generally clear and well-balanced.,-13.37,100.0,0.001,0.1099
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_2.wav,True,0.50278,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the clarity of the drum solo.,-23.4,100.0,0.0,0.0427
0.00335,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_20.wav,True,0.99997,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the clarity of the synth pads.,-23.74,100.0,0.0185,0.2815
0.005756,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_21.wav,True,0.99994,7.0,True,False,The recording has some background noise but is generally clear and distinct.,-11.92,100.0,0.0988,0.1527
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_23.wav,True,0.99017,7.0,True,False,The recording has some background noise but is generally clear and distinct.,-15.41,100.0,0.0056,0.041
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_24.wav,True,0.9574,7.0,True,False,The recording has some background noise but is generally clear and distinct.,-21.6,100.0,0.0344,0.2602
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_26.wav,True,0.79535,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the main melody.,-14.53,100.0,0.0018,0.1273
0.000588,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_28.wav,True,0.99994,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the main sound which is a lofi chillhop beat with vinyl crackle.,-10.04,100.0,0.0636,0.0805
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_3.wav,True,0.67236,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the main sound which is an acoustic bossa nova guitar.,-14.97,100.0,0.0011,0.0511
6e-06,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_33.wav,True,0.99902,7.0,True,False,The recording has some background noise but is generally clear and distinct.,-21.91,100.0,0.0111,0.0543
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_35.wav,True,0.99579,8.0,True,False,"The recording has minimal background noise and is relatively clear, presenting a good balance between acoustics and digital quality.",-11.56,100.0,0.0271,0.1004
0.000919,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_38.wav,True,0.99994,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the main instruments which are the traditional Japanese shamisen and taiko drums.,-13.78,100.0,0.1003,0.2951
5.6e-05,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_39.wav,True,0.99966,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the main sound which is a clear surf rock with reverb.,-9.02,100.0,0.0369,0.2576
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_4.wav,True,0.82697,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the main sound which is a slow delta blues slide guitar.,-18.66,100.0,0.0088,0.1123
0.005094,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_40.wav,True,0.99997,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the main melody.,-6.09,100.0,0.1176,0.2629
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_41.wav,True,0.58939,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the main music which is an Afrobeat song with complex percussion polyrhythms.,-19.15,100.0,0.0019,0.0752
