clipping_fraction,dsp_issues,file,good,peak,qwen_clarity_score,qwen_good,qwen_has_severe_noise,qwen_reason,rms_db,score,spectral_flatness,zero_crossing_rate
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_1.wav,True,0.62714,7.0,True,False,The recording has some noise but overall it is clear and has a vintage feel to it.,-19.92,100.0,0.0269,0.1186
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_11.wav,True,0.46317,8.0,True,False,The recording has some background noise but is generally clear and well-balanced in frequency response.,-37.12,100.0,0.0264,0.2081
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_12.wav,True,0.70633,8.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-19.9,100.0,0.0001,0.0368
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_15.wav,True,0.75162,7.0,True,False,"The recording has minimal background noise and is relatively clear, with a slightly muffled sound due to the lower quality of the recording.",-21.11,100.0,0.0684,0.215
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_16.wav,True,0.41467,7.0,True,False,The recording has some background noise but is generally clear and easy to listen to.,-28.22,100.0,0.0483,0.1685
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_19.wav,True,0.75345,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-16.85,100.0,0.0006,0.1138
6e-06,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_24.wav,True,0.99908,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-15.76,100.0,0.102,0.149
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_25.wav,True,0.99466,7.0,True,False,The recording has some distortion but is generally clear and easy to listen to.,-8.25,100.0,0.014,0.1095
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_28.wav,True,0.56531,8.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-23.85,100.0,0.0008,0.0479
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_29.wav,True,0.98383,8.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-14.08,100.0,0.0427,0.1593
0.006606,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_3.wav,True,0.99994,7.0,True,False,The recording has some background noise but is otherwise clear and well-balanced in frequency.,-2.83,100.0,0.0642,0.0942
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_30.wav,True,0.87732,7.0,True,False,The recording has some background noise but is generally clear and easy to listen to.,-21.52,100.0,0.0167,0.0704
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_31.wav,True,0.91669,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music elements.,-13.98,100.0,0.0869,0.1578
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_33.wav,True,0.76434,8.0,True,False,"The recording has low levels of noise and is generally clear, with only a slight distortion in the lower frequencies.",-28.8,100.0,0.003,0.0241
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_34.wav,True,0.55429,7.0,True,False,The recording has some background noise but it is not severe enough to distort the clarity of the music.,-21.66,100.0,0.002,0.0356
0.0,none,C:\Users\sepan\sparke-photo to audio\sparke_audioldm2_audio_outputs_general\sparke_audio_35.wav,True,0.78452,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-20.23,100.0,0.0808,0.2082
