clipping_fraction,dsp_issues,file,good,peak,qwen_clarity_score,qwen_good,qwen_has_severe_noise,qwen_reason,rms_db,score,spectral_flatness,zero_crossing_rate
0.0,none,C:\Users\sepan\sparke-photo to audio\tango_sounds_sparke\sparke_audio_1.wav,True,0.48782,8.0,True,False,The recording has some background noise but is generally clear and well-balanced in frequency response.,-21.43,100.0,0.009,0.2907
0.0,none,C:\Users\sepan\sparke-photo to audio\tango_sounds_sparke\sparke_audio_10.wav,True,0.30978,8.0,True,False,"The recording has minimal background noise and is relatively clear, presenting an overall good acoustical quality.",-26.29,100.0,0.0087,0.1448
0.0,none,C:\Users\sepan\sparke-photo to audio\tango_sounds_sparke\sparke_audio_11.wav,True,0.52451,7.0,True,False,The recording has some background noise but is generally clear and well-balanced.,-21.22,100.0,0.028,0.1205
0.0,none,C:\Users\sepan\sparke-photo to audio\tango_sounds_sparke\sparke_audio_13.wav,True,0.36026,7.0,True,False,The recording has some background noise but is generally clear and distinct.,-29.48,100.0,0.0381,0.2592
6e-06,none,C:\Users\sepan\sparke-photo to audio\tango_sounds_sparke\sparke_audio_15.wav,True,0.99973,8.0,True,False,"The recording has minimal background noise and is relatively clear, with only a slight distortion in the audio towards the end.",-27.11,100.0,0.0119,0.1656
0.0,none,C:\Users\sepan\sparke-photo to audio\tango_sounds_sparke\sparke_audio_16.wav,True,0.61215,7.0,True,False,The recording has some background noise but is generally clear and has a good balance between frequencies.,-19.48,100.0,0.0224,0.2231
0.0,none,C:\Users\sepan\sparke-photo to audio\tango_sounds_sparke\sparke_audio_17.wav,True,0.87653,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-20.43,100.0,0.0384,0.1613
0.0,none,C:\Users\sepan\sparke-photo to audio\tango_sounds_sparke\sparke_audio_19.wav,True,0.59589,8.0,True,False,The recording has some background noise but it is not severe and does not obscure the clarity of the music.,-21.64,100.0,0.008,0.0543
0.0,none,C:\Users\sepan\sparke-photo to audio\tango_sounds_sparke\sparke_audio_2.wav,True,0.53726,7.0,True,False,The recording has some background noise but is generally clear and well-balanced in frequency response.,-21.25,100.0,0.0304,0.0792
0.0,none,C:\Users\sepan\sparke-photo to audio\tango_sounds_sparke\sparke_audio_20.wav,True,0.84286,8.0,True,False,The recording has minimal background noise and is relatively clear.,-21.29,100.0,0.0619,0.1655
0.0,none,C:\Users\sepan\sparke-photo to audio\tango_sounds_sparke\sparke_audio_23.wav,True,0.51694,7.0,True,False,The recording has some background noise but it’s not severe and doesn’t obscure the main sound which is an acoustic pipe organ.,-37.51,100.0,0.0544,0.2268
0.0,none,C:\Users\sepan\sparke-photo to audio\tango_sounds_sparke\sparke_audio_24.wav,False,0.65308,0.0,False,True,JSON Parsing Error,-30.34,100.0,0.1335,0.2348
0.0,none,C:\Users\sepan\sparke-photo to audio\tango_sounds_sparke\sparke_audio_25.wav,True,0.64191,7.0,True,False,The recording has some distortion but is generally clear and easy to listen to.,-29.6,100.0,0.0018,0.2203
0.0,none,C:\Users\sepan\sparke-photo to audio\tango_sounds_sparke\sparke_audio_26.wav,True,0.98004,7.0,True,False,The recording has some background noise but is generally clear and has good acoustic quality.,-17.89,100.0,0.0,0.0736
0.0,none,C:\Users\sepan\sparke-photo to audio\tango_sounds_sparke\sparke_audio_27.wav,True,0.90372,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the main chiptune melody.,-30.69,100.0,0.0657,0.2798
